incident_number,count
TIX00587944,1
TIX00533602,1
TIX00391485,1
TIX00513926,1
TIX00556593,1
TIX00601634,1
TIX00511054,1
TIX00509978,1
TIX00452296,1
TIX00573811,1
TIX00572625,1
TIX00345085,5
TIX00555077,1
TIX00564828,1
TIX00570079,1
TIX00322303,1
TIX00334474,4
TIX00570521,1
TIX00555569,1
TIX00441258,1
TIX00586226,3
TIX00353510,1
TIX00535371,1
TIX00405684,1
TIX00311933,1
TIX00348321,2
TIX00432844,1
TIX00410541,2
TIX00322637,1
TIX00510885,1
TIX00548837,1
TIX00364600,1
TIX00388712,1
TIX00317746,1
TIX00426319,1
TIX00458235,1
TIX00580125,1
TIX00379835,1
TIX00366734,1
TIX00441704,3
TIX00559885,3
TIX00589050,1
TIX00329419,1
TIX00320564,1
TIX00617058,1
TIX00393575,1
TIX00400425,2
TIX00335198,1
TIX00552435,1
TIX00616178,3
TIX00357065,1
TIX00582878,1
TIX00606663,1
TIX00611234,1
TIX00524823,2
TIX00401502,1
TIX00408443,1
TIX00400385,1
TIX00399011,3
TIX00557771,1
TIX00589724,4
TIX00370503,1
TIX00344745,2
TIX00256953,1
TIX00437547,1
TIX00431586,1
TIX00539309,1
TIX00370215,1
TIX00441010,3
TIX00334021,1
TIX00403047,1
TIX00576242,1
TIX00432288,1
TIX00536130,1
TIX00422390,1
TIX00559830,1
TIX00546794,1
TIX00603409,1
TIX00600209,1
TIX00350097,1
TIX00344760,1
TIX00344905,5
TIX00351614,2
TIX00371174,1
TIX00536061,1
TIX00513349,2
TIX00379693,2
TIX00351977,1
TIX00458458,1
TIX00389229,1
TIX00436028,1
TIX00331297,1
TIX00403714,1
TIX00592918,2
TIX00532580,2
TIX00569561,1
TIX00564694,1
TIX00429812,1
TIX00321125,1
TIX00393255,8
TIX00563441,1
TIX00546406,1
TIX00396306,1
TIX00529726,4
TIX00335336,1
TIX00330119,1
TIX00399838,1
TIX00434459,1
TIX00424092,1
TIX00349109,1
TIX00395796,3
TIX00355266,1
TIX00532267,1
TIX00551163,1
TIX00416291,1
TIX00360997,1
TIX00326593,1
TIX00534441,1
TIX00394799,1
TIX00341391,1
TIX00371816,1
TIX00438541,3
TIX00408726,1
TIX00445186,1
TIX00320137,1
TIX00388368,2
TIX00419765,2
TIX00570866,1
TIX00613519,1
TIX00624769,1
TIX00419822,1
TIX00450530,1
TIX00576469,1
TIX00544757,1
TIX00335378,1
TIX00616044,1
TIX00355894,1
TIX00529477,4
TIX00573486,1
TIX00419829,1
TIX00339846,1
TIX00570160,1
TIX00455359,1
TIX00447773,1
TIX00621065,1
TIX00386596,1
TIX00289947,1
TIX00532439,1
TIX00519071,1
TIX00509268,1
TIX00378163,1
TIX00577395,2
TIX00417050,1
TIX00377235,2
TIX00332888,1
TIX00441165,1
TIX00405539,1
TIX00574701,1
TIX00522275,1
TIX00315000,1
TIX00355774,1
TIX00396619,1
TIX00442496,1
TIX00333031,2
TIX00425209,1
TIX00386312,1
TIX00503404,3
TIX00391978,1
