Tenant Name,Test Case Id,Scripts,Execution Time,Result,Errors/Message,Individual Results,Group,Module,Category
tjx,ITSA_FUNCTIONAL_104,[POST] d_change_task_changed_by_mysql.sql,0.16 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_105,[POST] f_change_task_updated_by_mysql.sql,0.15 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_106,[POST] f_change_task_business_duration_mysql.sql,0.16 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_107,[POST] f_change_task_closed_by_key_mysql.sql,30 min 0 sec,FAILURE,[Error] [Post Script] Statement cancelled due to timeout or client request,,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_108,[POST] d_change_task_changed_on_mysql.sql,0.23 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_109,[POST] f_change_task_open_to_close_duration_mysql.sql,18.85 sec,FAILURE,[Error] MDS to DWH data validation failed for f_change_task.open_to_close_duration,,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_110,[POST] d_change_task_description_mysql.sql,0.3 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_111,[POST] d_change_task_task_type_src_code_mysql.sql,0.23 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_112,[POST] f_change_task_state_src_code_mysql.sql,0.22 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_113,[POST] d_change_task_made_sla_flag_mysql.sql,0.03 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.met_sla' in 'where clause',,FUNCTIONAL,ITSA,DWH
