name,Sys_class_name,Class1,Class2,Class3,LOV_Hardwware_Status,HARDWARE_STATUS_FLAG,CNT
5cg90114yg-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114yx-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90129l3-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9012pyh-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012q3n-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012q6d-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012qb7-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012qd7-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012qhm-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012qj6-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9012qr2-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012qrt-w10,cmdb_ci_laptop_pc,"In Stock",NULL,NULL,"In Stock",Y,1
5cg9012qy1-w10,cmdb_ci_laptop_pc,"In Stock",NULL,NULL,"In Stock",Y,1
5cg9012qyh-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012qz1-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012r39-w10,cmdb_ci_laptop_pc,"In Stock",NULL,NULL,"In Stock",Y,1
5cg9012r3d-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012r5b-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012r6k-w10,cmdb_ci_laptop_pc,"In Stock",NULL,NULL,"In Stock",Y,1
5cg9012r7x-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9012r83-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012r8s-w10,cmdb_ci_laptop_pc,"In Stock",NULL,NULL,"In Stock",Y,1
5cg9012rby-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012rfn-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9012rhp-w10,cmdb_ci_laptop_pc,"In Stock",NULL,NULL,"In Stock",Y,1
5cg9012sc3-w10,cmdb_ci_laptop_pc,"In Stock",NULL,NULL,"In Stock",Y,1
5cg90131dh-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131fz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131gs-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131kj-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131lc-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131m3-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131nx-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131qp-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131r7-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131ry-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131t7-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131tj-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131tz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131z2-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90131zy-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg901321l-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9013221-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90132n4-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90132nk-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90132nl-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90132vc-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90132wb-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90132wp-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90140gz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014c3z-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014c54-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014c70-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014c7b-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014c7l-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014c8x-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014c9h-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014cc9-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014ccz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014cfc-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014cgz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014cl9-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014cr8-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014cv0-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014cw2-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014czp-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014d05-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014d2g-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014d2p-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014d32-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014d5r-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014dbp-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014hn0-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
